Experiment Results - 20250816_184713
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |  121 |    298 |   0.668 |   0.471 |   1.693 |   0.295 |       0.000 |       0.000 |  927.789 |  182.132
     Upper |  122 |    282 |   0.688 |   0.463 |   1.707 |   0.296 |       0.000 |       0.000 |  937.521 |  178.091
     Upper |  123 |    257 |   0.693 |   0.461 |   1.724 |   0.291 |       0.000 |       0.000 |  908.681 |  176.081
     Upper |  124 |    294 |   0.650 |   0.477 |   1.720 |   0.298 |       0.000 |       0.000 |  907.320 |  161.835
     Upper |  125 |    272 |   0.680 |   0.466 |   1.731 |   0.288 |       0.000 |       0.000 |  925.599 |  166.116
     Upper |  126 |    284 |   0.680 |   0.467 |   1.688 |   0.274 |       0.000 |       0.000 |  902.148 |  166.867
     Upper |  127 |    290 |   0.617 |   0.486 |   1.708 |   0.305 |       0.000 |       0.000 |  904.886 |  173.849
     Upper |  128 |    282 |   0.645 |   0.478 |   1.706 |   0.325 |       0.000 |       0.000 |  915.074 |  173.792
     Upper |  129 |    291 |   0.646 |   0.478 |   1.698 |   0.266 |       0.000 |       0.000 |  904.711 |  167.652
     Upper |  130 |    266 |   0.695 |   0.460 |   1.696 |   0.300 |       0.000 |       0.000 |  889.417 |  168.782
     Upper |  131 |    282 |   0.610 |   0.488 |   1.692 |   0.285 |       0.000 |       0.000 |  914.741 |  160.913
     Upper |  132 |    272 |   0.618 |   0.486 |   1.713 |   0.330 |       0.000 |       0.000 |  915.445 |  171.922
     Upper |  133 |    287 |   0.634 |   0.482 |   1.685 |   0.300 |       0.000 |       0.000 |  900.815 |  165.930
     Upper |  134 |    327 |   0.630 |   0.483 |   1.709 |   0.279 |       0.000 |       0.000 |  897.991 |  161.933
     Upper |  135 |    293 |   0.648 |   0.477 |   1.696 |   0.303 |       0.000 |       0.000 |  911.147 |  158.691
     Upper |  136 |    303 |   0.647 |   0.478 |   1.691 |   0.291 |       0.000 |       0.000 |  908.752 |  163.051
     Upper |  137 |    282 |   0.660 |   0.474 |   1.663 |   0.288 |       0.000 |       0.000 |  905.674 |  157.000
     Upper |  138 |    299 |   0.662 |   0.473 |   1.631 |   0.290 |       0.000 |       0.000 |  917.010 |  165.499
     Upper |  139 |    286 |   0.636 |   0.481 |   1.680 |   0.289 |       0.000 |       0.000 |  899.969 |  160.168
     Upper |  140 |    285 |   0.611 |   0.488 |   1.648 |   0.289 |       0.000 |       0.000 |  899.846 |  154.917
     Upper |  141 |    312 |   0.647 |   0.478 |   1.682 |   0.253 |       0.000 |       0.000 |  931.205 |  168.319
     Upper |  142 |    273 |   0.612 |   0.487 |   1.668 |   0.276 |       0.000 |       0.000 |  898.245 |  160.079
     Upper |  143 |    299 |   0.686 |   0.464 |   1.684 |   0.276 |       0.000 |       0.000 |  893.769 |  159.485
     Upper |  144 |    306 |   0.624 |   0.484 |   1.682 |   0.278 |       0.000 |       0.000 |  891.539 |  151.785
     Upper |  145 |    283 |   0.618 |   0.486 |   1.674 |   0.255 |       0.000 |       0.000 |  904.399 |  157.090
     Upper |  146 |    283 |   0.618 |   0.486 |   1.667 |   0.270 |       0.000 |       0.000 |  893.795 |  158.446
     Upper |  147 |    274 |   0.661 |   0.474 |   1.690 |   0.260 |       0.000 |       0.000 |  888.026 |  163.922
     Upper |  148 |    294 |   0.629 |   0.483 |   1.686 |   0.275 |       0.000 |       0.000 |  911.160 |  148.400
     Upper |  149 |    293 |   0.655 |   0.475 |   1.693 |   0.267 |       0.000 |       0.000 |  901.137 |  148.044
     Upper |  150 |    263 |   0.624 |   0.484 |   1.669 |   0.252 |       0.000 |       0.000 |  902.806 |  158.810
     Upper |  151 |    288 |   0.628 |   0.483 |   1.693 |   0.266 |       0.000 |       0.000 |  903.274 |  158.292
     Upper |  152 |    280 |   0.643 |   0.479 |   1.661 |   0.254 |       0.000 |       0.000 |  903.532 |  155.520
     Upper |  153 |    285 |   0.646 |   0.478 |   1.695 |   0.252 |       0.000 |       0.000 |  898.526 |  147.359
     Upper |  154 |    277 |   0.574 |   0.494 |   1.679 |   0.261 |       0.000 |       0.000 |  912.625 |  144.096
     Upper |  155 |    268 |   0.713 |   0.453 |   1.669 |   0.253 |       0.000 |       0.000 |  908.903 |  151.699
     Upper |  156 |    293 |   0.638 |   0.481 |   1.650 |   0.255 |       0.000 |       0.000 |  902.730 |  159.286
     Upper |  157 |    320 |   0.650 |   0.477 |   1.688 |   0.257 |       0.000 |       0.000 |  898.231 |  145.194
     Upper |  158 |    307 |   0.635 |   0.481 |   1.672 |   0.262 |       0.000 |       0.000 |  903.909 |  156.545
     Upper |  159 |    302 |   0.583 |   0.493 |   1.708 |   0.256 |       0.000 |       0.000 |  897.805 |  155.412
     Upper |  160 |    294 |   0.650 |   0.477 |   1.660 |   0.266 |       0.000 |       0.000 |  909.415 |  145.786
     Upper |  161 |    296 |   0.632 |   0.482 |   1.650 |   0.252 |       0.000 |       0.000 |  921.409 |  147.941
     Upper |  162 |    328 |   0.671 |   0.470 |   1.659 |   0.256 |       0.000 |       0.000 |  908.399 |  146.924
     Upper |  163 |    288 |   0.622 |   0.485 |   1.656 |   0.264 |       0.000 |       0.000 |  907.444 |  156.625
     Upper |  164 |    278 |   0.658 |   0.474 |   1.652 |   0.272 |       0.000 |       0.000 |  902.730 |  143.974
