Experiment Results - 20250810_211425
==================================================
n_online_list: [200]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
     Upper |  138 |    273 |   0.689 |   0.463 |   1.641 |   0.328 |       0.000 |       0.000 |  313.941 |   85.612
     Upper |  139 |    275 |   0.680 |   0.466 |   1.676 |     nan |       0.004 |       0.060 |  309.620 |   83.823
     Upper |  140 |    257 |   0.615 |   0.487 |   1.663 |   0.311 |       0.000 |       0.000 |  308.354 |   88.288
     Upper |  141 |    267 |   0.659 |   0.474 |   1.698 |   0.306 |       0.000 |       0.000 |  310.300 |   85.970
     Upper |  142 |    242 |   0.653 |   0.476 |   1.678 |     nan |       0.004 |       0.064 |  299.434 |   92.173
     Upper |  143 |    286 |   0.675 |   0.468 |   1.654 |   0.308 |       0.000 |       0.000 |  298.411 |   91.108
     Upper |  144 |    282 |   0.649 |   0.477 |   1.671 |   0.323 |       0.000 |       0.000 |  311.230 |   82.647
     Upper |  145 |    247 |   0.640 |   0.480 |   1.700 |   0.284 |       0.000 |       0.000 |  303.996 |   85.109
     Upper |  146 |    276 |   0.645 |   0.479 |   1.698 |     nan |       0.004 |       0.060 |  305.014 |   85.106
     Upper |  147 |    256 |   0.645 |   0.479 |   1.695 |   0.288 |       0.000 |       0.000 |  303.006 |   77.028
     Upper |  148 |    256 |   0.602 |   0.490 |   1.706 |   0.310 |       0.000 |       0.000 |  308.191 |   82.394
     Upper |  149 |    259 |   0.664 |   0.472 |   1.688 |   0.312 |       0.000 |       0.000 |  296.193 |   86.799
     Upper |  150 |    241 |   0.660 |   0.474 |   1.665 |   0.290 |       0.000 |       0.000 |  304.552 |   85.137
     Upper |  151 |    258 |   0.698 |   0.459 |   1.714 |     nan |       0.004 |       0.062 |  297.006 |   86.763
     Upper |  152 |    256 |   0.652 |   0.476 |   1.657 |   0.251 |       0.000 |       0.000 |  320.219 |   75.913
     Upper |  153 |    252 |   0.663 |   0.473 |   1.682 |   0.268 |       0.000 |       0.000 |  315.423 |   78.587
     Upper |  154 |    264 |   0.621 |   0.485 |   1.648 |   0.276 |       0.000 |       0.000 |  317.371 |   78.753
     Upper |  155 |    251 |   0.709 |   0.454 |   1.680 |   0.278 |       0.000 |       0.000 |  309.721 |   82.600
     Upper |  156 |    255 |   0.690 |   0.462 |   1.669 |   0.300 |       0.000 |       0.000 |  308.398 |   83.583
     Upper |  157 |    298 |   0.658 |   0.474 |   1.679 |   0.270 |       0.000 |       0.000 |  309.879 |   79.504
     Upper |  158 |    266 |   0.628 |   0.483 |   1.683 |   0.247 |       0.000 |       0.000 |  312.162 |   77.005
     Upper |  159 |    267 |   0.607 |   0.488 |   1.695 |   0.339 |       0.000 |       0.000 |  303.571 |   84.401
     Upper |  160 |    263 |   0.673 |   0.469 |   1.684 |   0.263 |       0.000 |       0.000 |  311.087 |   79.204
     Upper |  161 |    255 |   0.627 |   0.483 |   1.659 |   0.295 |       0.000 |       0.000 |  306.555 |   84.061
     Upper |  162 |    278 |   0.669 |   0.471 |   1.677 |   0.266 |       0.000 |       0.000 |  303.149 |   79.456
     Upper |  163 |    265 |   0.664 |   0.472 |   1.668 |   0.252 |       0.000 |       0.000 |  313.108 |   80.817
     Upper |  164 |    256 |   0.668 |   0.471 |   1.669 |   0.278 |       0.000 |       0.000 |  304.320 |   80.090
     Upper |  165 |    259 |   0.660 |   0.474 |   1.661 |   0.271 |       0.000 |       0.000 |  303.340 |   82.127
     Upper |  166 |    252 |   0.639 |   0.480 |   1.666 |   0.265 |       0.000 |       0.000 |  302.524 |   79.956
     Upper |  167 |    255 |   0.671 |   0.470 |   1.637 |   0.297 |       0.000 |       0.000 |  306.447 |   89.787
     Upper |  168 |    241 |   0.635 |   0.481 |   1.647 |   0.244 |       0.000 |       0.000 |  310.786 |   82.242
     Upper |  169 |    257 |   0.623 |   0.485 |   1.670 |   0.254 |       0.000 |       0.000 |  306.807 |   80.339
     Upper |  170 |    262 |   0.718 |   0.450 |   1.672 |   0.247 |       0.000 |       0.000 |  303.639 |   75.094
     Upper |  171 |    265 |   0.687 |   0.464 |   1.664 |   0.296 |       0.000 |       0.000 |  302.755 |   84.090
     Upper |  172 |    256 |   0.656 |   0.475 |   1.668 |   0.255 |       0.000 |       0.000 |  300.828 |   87.492
     Upper |  173 |    264 |   0.606 |   0.489 |   1.645 |   0.262 |       0.000 |       0.000 |  293.786 |   84.441
     Upper |  174 |    285 |   0.656 |   0.475 |   1.685 |     nan |       0.004 |       0.059 |  301.760 |   84.417
     Upper |  175 |    248 |   0.617 |   0.486 |   1.665 |   0.282 |       0.000 |       0.000 |  309.387 |   81.635
     Upper |  176 |    257 |   0.669 |   0.470 |   1.659 |   0.269 |       0.000 |       0.000 |  312.290 |   81.453
     Upper |  177 |    238 |   0.647 |   0.478 |   1.663 |   0.241 |       0.000 |       0.000 |  315.002 |   74.783
     Upper |  178 |    250 |   0.644 |   0.479 |   1.692 |   0.272 |       0.000 |       0.000 |  305.414 |   82.430
     Upper |  179 |    281 |   0.609 |   0.488 |   1.679 |   0.246 |       0.000 |       0.000 |  301.411 |   81.492
     Upper |  180 |    243 |   0.638 |   0.481 |   1.680 |   0.243 |       0.000 |       0.000 |  299.224 |   83.898
     Upper |  181 |    258 |   0.655 |   0.475 |   1.651 |   0.280 |       0.000 |       0.000 |  303.649 |   81.696
     Upper |  182 |    249 |   0.643 |   0.479 |   1.643 |   0.285 |       0.000 |       0.000 |  304.082 |   77.765
     Upper |  183 |    265 |   0.570 |   0.495 |   1.641 |   0.261 |       0.000 |       0.000 |  299.732 |   75.896
     Upper |  184 |    263 |   0.688 |   0.463 |   1.680 |     nan |       0.004 |       0.062 |  299.806 |   85.473
     Upper |  185 |    233 |   0.657 |   0.475 |   1.659 |   0.260 |       0.000 |       0.000 |  298.290 |   83.119
     Upper |  186 |    245 |   0.608 |   0.488 |   1.660 |   0.255 |       0.000 |       0.000 |  302.004 |   86.980
     Upper |  187 |    233 |   0.639 |   0.480 |   1.639 |   0.275 |       0.000 |       0.000 |  304.620 |   76.782
     Upper |  188 |    251 |   0.614 |   0.487 |   1.654 |   0.233 |       0.000 |       0.000 |  304.825 |   82.959
     Upper |  189 |    255 |   0.639 |   0.480 |   1.670 |   0.234 |       0.000 |       0.000 |  298.049 |   84.782
     Upper |  190 |    253 |   0.640 |   0.480 |   1.680 |   0.256 |       0.000 |       0.000 |  292.791 |   83.406
     Upper |  191 |    232 |   0.603 |   0.489 |   1.667 |   0.256 |       0.000 |       0.000 |  296.968 |   83.136
     Upper |  192 |    247 |   0.664 |   0.472 |   1.658 |     nan |       0.004 |       0.063 |  300.192 |   82.085
     Upper |  193 |    255 |   0.690 |   0.462 |   1.656 |   0.251 |       0.000 |       0.000 |  295.786 |   82.276
     Upper |  194 |    266 |   0.680 |   0.466 |   1.655 |   0.240 |       0.000 |       0.000 |  302.831 |   78.680
     Upper |  195 |    240 |   0.646 |   0.478 |   1.641 |   0.269 |       0.000 |       0.000 |  298.281 |   80.947
     Upper |  196 |    254 |   0.602 |   0.489 |   1.673 |   0.240 |       0.000 |       0.000 |  302.717 |   70.991
     Upper |  197 |    256 |   0.637 |   0.481 |   1.655 |   0.257 |       0.000 |       0.000 |  304.406 |   79.714
     Upper |  198 |    244 |   0.607 |   0.489 |   1.602 |   0.233 |       0.000 |       0.000 |  302.412 |   81.430
     Upper |  199 |    259 |   0.633 |   0.482 |   1.657 |   0.266 |       0.000 |       0.000 |  299.589 |   78.818
 Randomize |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
 Randomize |    1 |   1000 |   0.903 |   0.296 |     inf |     nan |       0.963 |       0.189 |    2.000 |    0.000
 Randomize |    2 |    531 |   0.879 |   0.326 |     inf |     nan |       0.923 |       0.267 |    3.819 |    0.831
 Randomize |    3 |    648 |   0.804 |   0.397 |     inf |     nan |       0.775 |       0.418 |   17.639 |    2.009
 Randomize |    4 |    458 |   0.762 |   0.426 |     inf |     nan |       0.712 |       0.453 |   68.175 |   11.402
 Randomize |    5 |    507 |   0.742 |   0.438 |     inf |     nan |       0.600 |       0.490 |  412.970 |   71.284
 Randomize |    6 |    413 |   0.746 |   0.435 |     inf |     nan |       0.620 |       0.485 |  523.935 |  101.997
 Randomize |    7 |    435 |   0.756 |   0.429 |   2.500 |     nan |       0.395 |       0.489 |  543.332 |   89.640
 Randomize |    8 |    363 |   0.749 |   0.433 |   3.791 |     nan |       0.488 |       0.500 |  486.300 |  114.911
 Randomize |    9 |    428 |   0.701 |   0.458 |   2.147 |     nan |       0.271 |       0.444 |  498.299 |  104.169
